URI,Title,RecordId,ParentType URI,From Date,To Date,Authority,Deity,Dynasty,Denomination,Issuer,Manufacture,Material,Mint,Object Type,Portrait,Region,State,Symbol_obv,Symbol_obv_letter,Symbol_rev,Symbol_rev_letter,Obverse Legend,Obverse Type,Reverse Legend,Reverse Type,Reverse Officina Mark,Reverse Exergue,Date Record Modified
http://numismatics.org/ocre/id/ric.2_1(2).tit.451,"RIC II, Part 1 (second edition) Titus 451",ric.2_1(2).tit.451,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T CAES AVG REST S C PROVIDENT,Altar,,,2026-01-06T02:36:42Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.452,"RIC II, Part 1 (second edition) Titus 452",ric.2_1(2).tit.452,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T CAES AVG RESTITVIT S C PROVIDENT,Altar,,,2026-01-06T02:36:43Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.453,"RIC II, Part 1 (second edition) Titus 453",ric.2_1(2).tit.453,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T VESP REST S C PROVIDENT,Altar,,,2026-01-06T02:36:49Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.454,"RIC II, Part 1 (second edition) Titus 454",ric.2_1(2).tit.454,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T VESP AVG REST S C PROVIDENT,Altar,,,2026-01-06T02:36:50Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.455,"RIC II, Part 1 (second edition) Titus 455",ric.2_1(2).tit.455,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T VESP AVG REST S C PROVIDENT,Altar,,,2026-01-06T02:36:51Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.456,"RIC II, Part 1 (second edition) Titus 456",ric.2_1(2).tit.456,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left; star above",IMP T CAES AVG REST S C PROVIDENT,Altar,,,2026-01-06T02:36:51Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.457,"RIC II, Part 1 (second edition) Titus 457",ric.2_1(2).tit.457,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left; star above",IMP T VESP AVG REST S C PROVIDENT,Altar,,,2026-01-06T02:36:52Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.458,"RIC II, Part 1 (second edition) Titus 458",ric.2_1(2).tit.458,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, right",IMP T VESP AVG REST S C,"Eagle standing front on globe, head right, wings spread",,,2026-01-06T02:36:53Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.459,"RIC II, Part 1 (second edition) Titus 459",ric.2_1(2).tit.459,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T CAES AVG RESTITVIT S C,"Eagle standing front on globe, head right, wings spread",,,2026-01-06T02:36:53Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.460,"RIC II, Part 1 (second edition) Titus 460",ric.2_1(2).tit.460,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T VESP AVG REST S C,"Eagle standing front on globe, head right, wings spread",,,2026-01-06T02:36:54Z
